    ars    |                           gen                           |                                    st_extent                                     
 092775241 | Bad Birnbach                                            | BOX(12.986435462336308 48.376581558927654,13.174674179744544 48.49148248260141)
 160730005 | Bad Blankenburg                                         | BOX(11.183056164842439 50.637072778417135,11.313049113409024 50.71290437476474)
 096720112 | Bad Bocklet                                             | BOX(10.01942996171194 50.23861111809654,10.128306927736801 50.320049991869666)
 145230030 | Bad Brambach                                            | BOX(12.239336279312926 50.171534964765115,12.359299478191947 50.2756689815134)
 010600004 | Bad Bramstedt                                           | BOX(9.851733186254299 53.8874306398677,9.953317893525874 53.94406540626675)
 010605005 | Bad Bramstedt-Land                                      | BOX(9.751445145760782 53.81710626666627,10.062022057940759 54.02297932370538)
 071315003 | Bad Breisig                                             | BOX(7.20182004418864 50.45821704438992,7.344388160145117 50.54367138712151)
 096720113 | Bad Brückenau                                           | BOX(9.727705340442435 50.27858143947696,9.852609137262181 50.34239736113869)
 096725606 | Bad Brückenau                                           | BOX(9.749897010233084 50.219057774077264,9.933620834224827 50.339139067538284)
 084265001 | Bad Buchau                                              | BOX(9.532175270754719 48.01651453088139,9.68649956104114 48.13941461749612)
 065330003 | Bad Camberg                                             | BOX(8.218061487727443 50.264060828909464,8.363500470019321 50.34037587828413)
 031585402 | Baddeckenstedt                                          | BOX(10.175169049196182 52.00374069064456,10.346193350101093 52.180754832525174)
 130720006 | Bad Doberan                                             | BOX(11.808014313041047 54.0779086583443,11.951898613831434 54.14613209397134)
 130725251 | Bad Doberan-Land                                        | BOX(11.775041781287927 54.027291925860496,12.021990262988268 54.17261705274956)
 057620004 | Bad Driburg                                             | BOX(8.964368158553981 51.64395271398955,9.11719582060654 51.79736477605407)
 147300020 | Bad Düben                                               | BOX(12.487843797822622 51.541425792275476,12.64239982196489 51.62798423913184)
 073320002 | Bad Dürkheim                                            | BOX(7.95126144138536 49.39947093722883,8.254433301335897 49.50445554354395)
 150880020 | Bad Dürrenberg                                          | BOX(12.040605569194284 51.24805940079833,12.17225509321454 51.32051618194925)
 083260003 | Bad Dürrheim                                            | BOX(8.50633885101648 47.94491647586819,8.663061326726458 48.05023704217896)
 145230040 | Bad Elster                                              | BOX(12.195618728446828 50.258701574030184,12.294881800600175 50.30705761414504)
 071415010 | Bad Ems-Nassau                                          | BOX(7.645026233315702 50.23919835806063,7.905092716069199 50.40068409553097)
 066330006 | Bad Emstal                                              | BOX(9.208385190682403 51.19632596166662,9.30809556564201 51.29023636663353)
