  ars  |                gen                |                                    st_extent                                     
 07314 | Ludwigshafen am Rhein             | BOX(8.298116709534366 49.426698076173544,8.477004709592014 49.550063788283644)
 13076 | Ludwigslust-Parchim               | BOX(10.593672881273253 53.110302570319206,12.366413235747402 53.79706002174423)
 03355 | Lüneburg                          | BOX(10.036090050437494 53.0430018151303,11.19532805569341 53.385844206540874)
 15003 | Magdeburg                         | BOX(11.51853972801934 52.02519234227775,11.763942794562755 52.228420541138334)
 06435 | Main-Kinzig-Kreis                 | BOX(8.780628992470264 50.06622345964201,9.748897227450803 50.46343641668667)
 09677 | Main-Spessart                     | BOX(9.372799803640232 49.74454110504067,10.04616203449674 50.24347390878195)
 08128 | Main-Tauber-Kreis                 | BOX(9.295673221395361 49.35219816758438,10.161698240226038 49.791477649801095)
 06436 | Main-Taunus-Kreis                 | BOX(8.316891988591324 49.996512748542195,8.600767042169831 50.20278507100353)
 07315 | Mainz                             | BOX(8.14342669745198 49.89555309721794,8.343030535323873 50.03529620603235)
 07339 | Mainz-Bingen                      | BOX(7.66475516090647 49.748534728253496,8.400054880365984 50.08259041673055)
 08222 | Mannheim                          | BOX(8.414139833811433 49.411041657445075,8.590068469753463 49.59047837749402)
 15087 | Mansfeld-Südharz                  | BOX(10.88205162928592 51.33981013996125,11.780369766348965 51.72993963585697)
 06534 | Marburg-Biedenkopf                | BOX(8.354630481432288 50.67376985589346,9.151586694425866 50.996706815948386)
 05962 | Märkischer Kreis                  | BOX(7.417653962174995 51.06852347050554,7.950876044459657 51.47853332609382)
 12064 | Märkisch-Oderland                 | BOX(13.610543075492975 52.373968471990594,14.639785638879738 52.903294496170844)
 07137 | Mayen-Koblenz                     | BOX(6.973801719681931 50.16012964975673,7.680986555043068 50.476613304665086)
 13071 | Mecklenburgische Seenplatte       | BOX(12.27514555748778 53.1625265669132,13.795998334997458 54.00493765445061)
 14627 | Meißen                            | BOX(13.182201463841153 51.007303368413936,13.85650250153984 51.45417172448884)
 09764 | Memmingen                         | BOX(10.084673156579322 47.91565048834828,10.233976825569634 48.047457525803836)
 10042 | Merzig-Wadern                     | BOX(6.356947242646854 49.37216086133269,6.963020678279488 49.61342263351361)
 05158 | Mettmann                          | BOX(6.799827071695813 51.0648856225184,7.169593920893816 51.38149549675839)
 09182 | Miesbach                          | BOX(11.597967404883033 47.58121483652233,12.062403657594011 47.94258625652215)
 09676 | Miltenberg                        | BOX(9.033336125006567 49.573558993987156,9.478939718850132 49.93841215400053)
 05770 | Minden-Lübbecke                   | BOX(8.29721368130394 52.16251418808809,9.136708747385889 52.53144342795385)
