     ars      |                 gen                  |                                    st_extent                                     
 150835052020 | Altenhausen                          | BOX(11.171257292099877 52.21942096709826,11.304972376894554 52.310979484166104)
 010585893004 | Altenhof                             | BOX(9.85491407284807 54.420815259974106,9.947774147035368 54.462967692496946)
 130715159003 | Altenhof                             | BOX(12.318425351834241 53.329834436906204,12.413535176440101 53.376880105315884)
 010580005005 | Altenholz                            | BOX(10.070131116654963 54.36948596289227,10.1400148667122 54.42449983115692)
 073365009004 | Altenkirchen                         | BOX(7.283792019968961 49.43217297073695,7.33735415455542 49.45636270981339)
 130735359004 | Altenkirchen                         | BOX(13.29966205208913 54.619830258687415,13.38707504415782 54.681238793299265)
 071325010501 | Altenkirchen (Westerwald)            | BOX(7.599277423568452 50.666731898341915,7.681170305112206 50.710390172926196)
 010555591002 | Altenkrempe                          | BOX(10.72409619449723 54.101274781099455,10.851586229336682 54.17428467991198)
 094780111111 | Altenkunstadt                        | BOX(11.175768495542606 50.08754929781827,11.320384594528525 50.145262729271174)
 091890111111 | Altenmarkt a.d. Alz                  | BOX(12.445034021060742 47.96853391936718,12.548069916318616 48.02833236542812)
 033605407001 | Altenmedingen                        | BOX(10.55039639885379 53.09747489434279,10.69997859868993 53.19154923235917)
 010615134004 | Altenmoor                            | BOX(9.545455782518582 53.751465488378194,9.634180806048287 53.77775721992745)
 097720115115 | Altenmünster                         | BOX(10.52835539536433 48.419365062590906,10.645496550728804 48.49929727324609)
 130735351005 | Altenpleen                           | BOX(12.879669208310542 54.343903802965116,12.987873653177743 54.39698301223472)
 081165003006 | Altenriet                            | BOX(9.163658110191589 48.57992148258907,9.233789361404357 48.60436668706144)
 064400001001 | Altenstadt                           | BOX(8.899123482067564 50.25323505312386,9.00792745256608 50.31538513477044)
 091905174111 | Altenstadt                           | BOX(10.825355976667433 47.77561373420323,10.889069591480657 47.8688858855414)
 097755740111 | Altenstadt                           | BOX(10.091466530482583 48.13135725022327,10.18077882243062 48.1988990178108)
 093740111111 | Altenstadt a.d. Waldnaab             | BOX(12.080238670613364 49.69834546259503,12.17094446824431 49.75154135823308)
 082355001006 | Altensteig                           | BOX(8.542116562221743 48.54471969802266,8.677083218385466 48.655705425828)
 093755335114 | Altenthann                           | BOX(12.254547884648074 49.047789484098004,12.345602620172446 49.12374615034874)
